,0,1
0,8237.03,1569888000000.0
1,8223.74,1569888900000.0
2,8217.55,1569889800000.0
3,8201.83,1569890700000.0
4,8212.14,1569891600000.0
5,8208.67,1569892500000.0
6,8253.56,1569893400000.0
7,8272.99,1569894300000.0
8,8350.0,1569895200000.0
9,8393.92,1569896100000.0
10,8384.54,1569897000000.0
11,8416.64,1569897900000.0
12,8477.14,1569898800000.0
13,8452.52,1569899700000.0
14,8444.5,1569900600000.0
15,8409.83,1569901500000.0
16,8420.71,1569902400000.0
17,8445.13,1569903300000.0
18,8450.02,1569904200000.0
19,8425.88,1569905100000.0
20,8420.73,1569906000000.0
21,8427.03,1569906900000.0
22,8403.78,1569907800000.0
23,8412.66,1569908700000.0
24,8409.33,1569909600000.0
25,8380.79,1569910500000.0
26,8360.63,1569911400000.0
27,8387.15,1569912300000.0
28,8362.83,1569913200000.0
29,8368.23,1569914100000.0
30,8389.42,1569915000000.0
31,8417.16,1569915900000.0
32,8401.94,1569916800000.0
33,8356.65,1569917700000.0
34,8373.58,1569918600000.0
35,8373.91,1569919500000.0
36,8313.01,1569920400000.0
37,8305.26,1569921300000.0
38,8328.32,1569922200000.0
39,8328.32,1569923100000.0
40,8345.48,1569924000000.0
41,8345.01,1569924900000.0
42,8310.2,1569925800000.0
43,8308.46,1569926700000.0
44,8315.44,1569927600000.0
45,8335.41,1569928500000.0
46,8327.2,1569929400000.0
47,8354.62,1569930300000.0
48,8394.04,1569931200000.0
49,8338.24,1569932100000.0
50,8305.38,1569933000000.0
51,8322.03,1569933900000.0
52,8346.37,1569934800000.0
53,8337.32,1569935700000.0
54,8371.18,1569936600000.0
55,8336.4,1569937500000.0
56,8326.55,1569938400000.0
57,8327.43,1569939300000.0
58,8329.98,1569940200000.0
59,8328.71,1569941100000.0
60,8310.7,1569942000000.0
61,8320.88,1569942900000.0
62,8335.89,1569943800000.0
63,8363.25,1569944700000.0
64,8331.33,1569945600000.0
65,8348.08,1569946500000.0
66,8426.74,1569947400000.0
67,8426.33,1569948300000.0
68,8438.75,1569949200000.0
69,8372.13,1569950100000.0
70,8330.18,1569951000000.0
71,8269.97,1569951900000.0
72,8300.45,1569952800000.0
73,8308.03,1569953700000.0
74,8269.8,1569954600000.0
75,8299.7,1569955500000.0
76,8265.34,1569956400000.0
77,8279.28,1569957300000.0
78,8293.13,1569958200000.0
79,8298.53,1569959100000.0
80,8284.2,1569960000000.0
81,8282.49,1569960900000.0
82,8287.4,1569961800000.0
83,8360.62,1569962700000.0
84,8363.78,1569963600000.0
85,8349.61,1569964500000.0
86,8317.75,1569965400000.0
87,8298.35,1569966300000.0
88,8291.46,1569967200000.0
89,8312.38,1569968100000.0
90,8333.79,1569969000000.0
91,8329.82,1569969900000.0
92,8306.24,1569970800000.0
93,8292.63,1569971700000.0
94,8282.62,1569972600000.0
95,8295.63,1569973500000.0
96,8273.55,1569974400000.0
97,8323.75,1569975300000.0
98,8289.83,1569976200000.0
99,8291.61,1569977100000.0
100,8310.63,1569978000000.0
101,8317.29,1569978900000.0
102,8285.45,1569979800000.0
103,8282.09,1569980700000.0
104,8285.5,1569981600000.0
105,8276.82,1569982500000.0
106,8245.69,1569983400000.0
107,8248.04,1569984300000.0
108,8230.33,1569985200000.0
109,8219.59,1569986100000.0
110,8239.87,1569987000000.0
111,8255.55,1569987900000.0
112,8256.75,1569988800000.0
113,8226.11,1569989700000.0
114,8210.12,1569990600000.0
115,8214.57,1569991500000.0
116,8211.15,1569992400000.0
117,8200.56,1569993300000.0
118,8172.12,1569994200000.0
119,8158.34,1569995100000.0
120,8197.39,1569996000000.0
121,8187.7,1569996900000.0
122,8182.6,1569997800000.0
123,8204.5,1569998700000.0
124,8232.35,1569999600000.0
125,8213.7,1570000500000.0
126,8211.66,1570001400000.0
127,8207.86,1570002300000.0
128,8216.65,1570003200000.0
129,8243.16,1570004100000.0
130,8255.11,1570005000000.0
131,8237.39,1570005900000.0
132,8259.03,1570006800000.0
133,8243.92,1570007700000.0
134,8228.54,1570008600000.0
135,8233.85,1570009500000.0
136,8225.72,1570010400000.0
137,8215.95,1570011300000.0
138,8225.91,1570012200000.0
139,8255.28,1570013100000.0
140,8237.33,1570014000000.0
141,8239.95,1570014900000.0
142,8277.65,1570015800000.0
143,8267.98,1570016700000.0
144,8251.03,1570017600000.0
145,8228.31,1570018500000.0
146,8223.01,1570019400000.0
147,8211.25,1570020300000.0
148,8214.65,1570021200000.0
149,8240.31,1570022100000.0
150,8242.73,1570023000000.0
151,8213.12,1570023900000.0
152,8215.76,1570024800000.0
153,8215.33,1570025700000.0
154,8238.25,1570026600000.0
155,8244.13,1570027500000.0
156,8237.21,1570028400000.0
157,8219.22,1570029300000.0
158,8231.92,1570030200000.0
159,8231.49,1570031100000.0
160,8230.92,1570032000000.0
161,8256.86,1570032900000.0
162,8252.47,1570033800000.0
163,8213.35,1570034700000.0
164,8212.52,1570035600000.0
165,8207.43,1570036500000.0
166,8199.79,1570037400000.0
167,8235.0,1570038300000.0
168,8231.4,1570039200000.0
169,8239.63,1570040100000.0
170,8226.54,1570041000000.0
171,8229.32,1570041900000.0
172,8224.55,1570042800000.0
173,8231.85,1570043700000.0
174,8225.22,1570044600000.0
175,8257.68,1570045500000.0
176,8250.03,1570046400000.0
177,8254.22,1570047300000.0
178,8243.38,1570048200000.0
179,8225.52,1570049100000.0
180,8236.79,1570050000000.0
181,8242.47,1570050900000.0
182,8239.1,1570051800000.0
183,8253.29,1570052700000.0
184,8245.27,1570053600000.0
185,8236.06,1570054500000.0
186,8270.14,1570055400000.0
187,8263.26,1570056300000.0
188,8335.86,1570057200000.0
189,8323.0,1570058100000.0
190,8333.62,1570059000000.0
191,8363.74,1570059900000.0
192,8349.18,1570060800000.0
193,8327.64,1570061700000.0
194,8322.92,1570062600000.0
195,8323.23,1570063500000.0
196,8340.38,1570064400000.0
197,8322.76,1570065300000.0
198,8321.82,1570066200000.0
199,8324.06,1570067100000.0
200,8333.81,1570068000000.0
201,8329.05,1570068900000.0
202,8338.77,1570069800000.0
203,8340.65,1570070700000.0
204,8331.54,1570071600000.0
205,8324.69,1570072500000.0
206,8328.37,1570073400000.0
207,8324.7,1570074300000.0
208,8340.12,1570075200000.0
209,8349.98,1570076100000.0
210,8346.67,1570077000000.0
211,8333.31,1570077900000.0
212,8335.27,1570078800000.0
213,8320.05,1570079700000.0
214,8308.5,1570080600000.0
215,8296.87,1570081500000.0
216,8297.93,1570082400000.0
217,8298.5,1570083300000.0
218,8297.54,1570084200000.0
219,8268.8,1570085100000.0
220,8267.3,1570086000000.0
221,8263.2,1570086900000.0
222,8252.85,1570087800000.0
223,8261.81,1570088700000.0
224,8251.57,1570089600000.0
225,8271.38,1570090500000.0
226,8270.07,1570091400000.0
227,8277.83,1570092300000.0
228,8280.5,1570093200000.0
229,8268.22,1570094100000.0
230,8269.84,1570095000000.0
231,8268.18,1570095900000.0
232,8269.95,1570096800000.0
233,8236.97,1570097700000.0
234,8234.66,1570098600000.0
235,8212.27,1570099500000.0
236,8224.31,1570100400000.0
237,8224.79,1570101300000.0
238,8209.96,1570102200000.0
239,8224.04,1570103100000.0
240,8237.44,1570104000000.0
241,8244.52,1570104900000.0
242,8241.1,1570105800000.0
243,8231.2,1570106700000.0
244,8232.76,1570107600000.0
245,8232.53,1570108500000.0
246,8214.33,1570109400000.0
247,8217.14,1570110300000.0
248,8205.35,1570111200000.0
249,8124.81,1570112100000.0
250,8087.41,1570113000000.0
251,8095.75,1570113900000.0
252,8105.32,1570114800000.0
253,8128.56,1570115700000.0
254,8123.46,1570116600000.0
255,8134.42,1570117500000.0
256,8164.49,1570118400000.0
257,8154.49,1570119300000.0
258,8184.01,1570120200000.0
259,8180.64,1570121100000.0
260,8166.11,1570122000000.0
261,8157.58,1570122900000.0
262,8147.09,1570123800000.0
263,8147.67,1570124700000.0
264,8144.84,1570125600000.0
265,8137.87,1570126500000.0
266,8136.02,1570127400000.0
267,8135.44,1570128300000.0
268,8113.48,1570129200000.0
269,8132.36,1570130100000.0
270,8130.56,1570131000000.0
271,8150.35,1570131900000.0
272,8156.51,1570132800000.0
273,8140.47,1570133700000.0
274,8139.94,1570134600000.0
275,8139.74,1570135500000.0
276,8137.55,1570136400000.0
277,8160.05,1570137300000.0
278,8158.72,1570138200000.0
279,8170.88,1570139100000.0
280,8156.81,1570140000000.0
281,8168.46,1570140900000.0
282,8176.25,1570141800000.0
283,8189.73,1570142700000.0
284,8260.0,1570143600000.0
285,8263.65,1570144500000.0
286,8241.49,1570145400000.0
287,8222.19,1570146300000.0
288,8204.93,1570147200000.0
289,8175.0,1570148100000.0
290,8114.28,1570149000000.0
291,8091.69,1570149900000.0
292,8112.83,1570150800000.0
293,8107.64,1570151700000.0
294,8110.21,1570152600000.0
295,8106.91,1570153500000.0
296,8130.9,1570154400000.0
297,8111.1,1570155300000.0
298,8105.63,1570156200000.0
299,8095.06,1570157100000.0
300,8078.46,1570158000000.0
301,8114.06,1570158900000.0
302,8097.06,1570159800000.0
303,8110.48,1570160700000.0
304,8089.98,1570161600000.0
305,8084.26,1570162500000.0
306,8072.46,1570163400000.0
307,8064.64,1570164300000.0
308,8090.1,1570165200000.0
309,8101.71,1570166100000.0
310,8093.78,1570167000000.0
311,8094.15,1570167900000.0
312,8119.45,1570168800000.0
313,8105.92,1570169700000.0
314,8100.82,1570170600000.0
315,8109.66,1570171500000.0
316,8106.08,1570172400000.0
317,8124.02,1570173300000.0
318,8125.0,1570174200000.0
319,8143.13,1570175100000.0
320,8114.22,1570176000000.0
321,8110.58,1570176900000.0
322,8097.23,1570177800000.0
323,8090.75,1570178700000.0
324,8112.08,1570179600000.0
325,8104.6,1570180500000.0
326,8117.32,1570181400000.0
327,8121.4,1570182300000.0
328,8144.75,1570183200000.0
329,8139.33,1570184100000.0
330,8151.44,1570185000000.0
331,8132.48,1570185900000.0
332,8125.16,1570186800000.0
333,8155.73,1570187700000.0
334,8128.13,1570188600000.0
335,8153.37,1570189500000.0
336,8149.11,1570190400000.0
337,8141.28,1570191300000.0
338,8132.46,1570192200000.0
339,8134.85,1570193100000.0
340,8133.75,1570194000000.0
341,8149.0,1570194900000.0
342,8157.37,1570195800000.0
343,8169.96,1570196700000.0
344,8157.07,1570197600000.0
345,8152.69,1570198500000.0
346,8153.57,1570199400000.0
347,8159.0,1570200300000.0
348,8150.11,1570201200000.0
349,8128.01,1570202100000.0
350,8132.78,1570203000000.0
351,8146.52,1570203900000.0
352,8150.66,1570204800000.0
353,8163.47,1570205700000.0
354,8165.44,1570206600000.0
355,8185.49,1570207500000.0
356,8162.92,1570208400000.0
357,8156.7,1570209300000.0
358,8159.2,1570210200000.0
359,8174.61,1570211100000.0
360,8171.45,1570212000000.0
361,8164.2,1570212900000.0
362,8167.02,1570213800000.0
363,8168.7,1570214700000.0
364,8179.08,1570215600000.0
365,8185.58,1570216500000.0
366,8178.68,1570217400000.0
367,8186.76,1570218300000.0
368,8210.96,1570219200000.0
369,8180.09,1570220100000.0
370,8153.05,1570221000000.0
371,8149.56,1570221900000.0
372,8135.5,1570222800000.0
373,8146.64,1570223700000.0
374,8158.95,1570224600000.0
375,8161.01,1570225500000.0
